ZIP,City,State,County,name,location,distribution_type,distance
40003,Bagdad,KY,Shelby,MBM Corp-Frankfort,"Frankfort, KY",Chain/Systems Distribution,11 miles
40003,Bagdad,KY,Shelby,What Chefs Want,"Louisville, KY",Specialized Foodservice,28 miles
40003,Bagdad,KY,Shelby,"Critchfield Meats, Inc.","Lexington, KY",Specialized Foodservice,32 miles
40003,Bagdad,KY,Shelby,What Chefs Want - Lexington,"Lexington, KY",Specialized Foodservice,32 miles
40003,Bagdad,KY,Shelby,Frontera Food Service,"Louisville, KY",Broadline Foodservice,34 miles
40003,Bagdad,KY,Shelby,Clem's Refrigerated Foods,"Lexington, KY",Specialized Foodservice,34 miles
40003,Bagdad,KY,Shelby,McLane Company-Cumberland,"Nicholasville, KY",Convenience Store,37 miles
40003,Bagdad,KY,Shelby,Rest Dpt/Jetro-431 LOSIVLE KY,"Louisville, KY",Club Store,37 miles
40003,Bagdad,KY,Shelby,John Trompeter Company,"Louisville, KY",Specialized Foodservice,38 miles
40003,Bagdad,KY,Shelby,McLane Foodservice-Cincinnati,"Hebron, KY",Chain/Systems Distribution,59 miles
40003,Bagdad,KY,Shelby,What Chefs Want - Cincinnati,"Cincinnati, OH",Specialized Foodservice,65 miles
40003,Bagdad,KY,Shelby,Chefs Whs-CINTI (Queensgate),"Cincinnati, OH",Specialized Foodservice,65 miles
40003,Bagdad,KY,Shelby,Rest Dpt/Jetro-583 CINN OH,"Cincinnati, OH",Club Store,69 miles
40003,Bagdad,KY,Shelby,"BlueRose Supply, LLC","Cincinnati, OH",Specialized Foodservice,70 miles
40003,Bagdad,KY,Shelby,Atlantic Foods Corporation,"Cincinnati, OH",Broadline Foodservice,73 miles
40003,Bagdad,KY,Shelby,BakeMark USA - Cincinnati,"Fairfield, OH",Specialized Foodservice,80 miles
40003,Bagdad,KY,Shelby,Modern Distributors Inc,"Somerset, KY",Convenience Store,84 miles
40004,Bardstown,KY,Nelson,Frontera Food Service,"Louisville, KY",Broadline Foodservice,29 miles
40004,Bardstown,KY,Nelson,Rest Dpt/Jetro-431 LOSIVLE KY,"Louisville, KY",Club Store,32 miles
40004,Bardstown,KY,Nelson,What Chefs Want,"Louisville, KY",Specialized Foodservice,32 miles
40004,Bardstown,KY,Nelson,John Trompeter Company,"Louisville, KY",Specialized Foodservice,32 miles
40004,Bardstown,KY,Nelson,MBM Corp-Frankfort,"Frankfort, KY",Chain/Systems Distribution,42 miles
40004,Bardstown,KY,Nelson,McLane Company-Cumberland,"Nicholasville, KY",Convenience Store,49 miles
40004,Bardstown,KY,Nelson,What Chefs Want - Lexington,"Lexington, KY",Specialized Foodservice,54 miles
40004,Bardstown,KY,Nelson,"Critchfield Meats, Inc.","Lexington, KY",Specialized Foodservice,54 miles
40004,Bardstown,KY,Nelson,Clem's Refrigerated Foods,"Lexington, KY",Specialized Foodservice,56 miles
40004,Bardstown,KY,Nelson,Modern Distributors Inc,"Somerset, KY",Convenience Store,68 miles
40004,Bardstown,KY,Nelson,CRS OneSource,"Owensboro, KY",Broadline Foodservice,90 miles
40004,Bardstown,KY,Nelson,McLane Foodservice-Cincinnati,"Hebron, KY",Chain/Systems Distribution,96 miles
